Row	Column	Assay	Sample		Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
27	32	AY12	5B-rep3		-1	31.81938	80.12791		0.9995396	47658.63	0.4250918	1.671986	FALSE	FALSE	FALSE	1.68E-05	LowEfficiency. CtIsLarge									9	9715.034	1.745317	35.11789	9186.593	-43.37524	1.945606		
27	33	AY12	8B-rep1														NoAmplification																	
27	34	AY12	8B-rep2														NoAmplification																	
27	35	AY12	8B-rep3														NoAmplification																	
65	12	AY120	1A-rep1														NoAmplification																	
65	13	AY120	1A-rep2														NoAmplification																	
65	14	AY120	1A-rep3														NoAmplification																	
65	18	AY120	5B-rep1		-1	18.85415	80.09661		0.9999144	17505.13	0.8444989	1.945315	FALSE	FALSE	FALSE	0.001752513										18	9548.407	1.376482	21.66692	12017.17	18.45341	2.258553		
65	19	AY120	5B-rep2		-1	18.78943	80.0389		0.9999271	13947.14	0.8447843	1.954336	FALSE	FALSE	FALSE	0.001569666										17	10222.48	1.367745	21.59069	11256.7	35.69621	2.101171		
65	20	AY120	5B-rep3		-1	19.74014	80.11936		0.9999823	5408.662	0.8375103	1.982065	FALSE	FALSE	FALSE	0.000740041										11	6344.066	1.341841	22.50728	14251.75	25.23113	3.246469		
65	21	AY120	8B-rep1		-1	23.09798	80.09708		0.9999817	5466.97	0.7975433	1.975682	FALSE	FALSE	FALSE	6.92E-05										8	5818.689	1.347681	25.87282	15061.74	8.852253	3.588511		
