Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
65	39	AY128	4C-rep1	-1	21.35	84.25	1.94	
65	40	AY128	4C-rep2	-1	21.32	84.27	1.95	
65	41	AY128	4C-rep3	-1	21.02	84.26	1.93	
65	45	AY128	5A-rep1	-1	19.08	84.33	1.97	
65	46	AY128	5A-rep2	-1	19	84.34	1.95	
65	47	AY128	5A-rep3	-1	18.88	84.33	1.98	
65	36	AY128	5C-rep1	-1	19.76	84.45	1.94	
65	37	AY128	5C-rep2	-1	19.66	84.42	1.97	
65	38	AY128	5C-rep3	-1	19.56	84.39	1.96	
2	48	AY129	4B-rep1	-1	24.96	85.02	1.9	
2	49	AY129	4B-rep2	-1	26.32	84.91	1.89	
2	50	AY129	4B-rep3	-1	26.07	84.95	1.9	
2	51	AY129	4C-rep1	-1	25.01	85.04	1.88	
2	52	AY129	4C-rep2	-1	25.07	84.9	1.89	
2	53	AY129	4C-rep3	-1	24.58	85.11	1.89	
2	57	AY129	5A-rep1	-1	24.55	85.18	1.89	
2	58	AY129	5A-rep2	-1	24.92	85.18	1.89	
2	59	AY129	5A-rep3	-1	24.96	85.14	1.91	
2	48	AY129	5C-rep1	-1	26.45	85.16	1.89	
2	49	AY129	5C-rep2	-1	25.76	85.08	1.91	MultipleMeltPeaks
2	50	AY129	5C-rep3	-1	25.59	85.05	1.89	
36	24	AY13	4B-rep1	-1				NoAmplification
36	25	AY13	4B-rep2	-1				NoAmplification
36	26	AY13	4B-rep3	-1				CtIsLarge. CurveFitFailed
36	27	AY13	4C-rep1	-1				NoAmplification
36	28	AY13	4C-rep2	-1				NoAmplification
